OBJECTID,Num_Cases,Address,xcoord,ycoord
"66",1,37 Beak Street,-0.137885343477883,51.512279505583
"67",1,7 Marshall Street,-0.137729616122359,51.513166924466
"68",2,4 Great Marlborough Street,-0.137685998932682,51.5147468718359
"69",4,7 Marshall Street,-0.137729616122359,51.513166924466
"70",2,33 Golden Square,-0.137787717631612,51.5117565642034
"71",1,49 Marshall Street,-0.137729203180833,51.5130273418692
"72",1,39 Beak Street,-0.137517898618445,51.5124296245588
"73",1,38 Beak Street,-0.137469555563961,51.5123837947785
"74",4,1 Marshall Street,-0.137543615013487,51.5129242950684
"75",3,39 Beak Street,-0.137517898618445,51.5124296245588
"76",2,1 Broadwick Street,-0.137396763656547,51.5131641799666
"77",1,1 Marshall Street,-0.137482521018903,51.5127257025434
"78",2,1 Marshall Street,-0.137543615013487,51.5129242950684
"79",2,9 Dufours Place,-0.137298346448132,51.5134795660477
"80",3,61 Broadwick Street,-0.137360192613021,51.5131143042249
"81",2,9 Dufours Place,-0.137298346448132,51.5134795660477
"82",1,7 Upper James Street,-0.137506477276944,51.5123848925316
"83",1,9 Dufours Place,-0.137298346448132,51.5134795660477
"84",2,2 Marshall Street,-0.137409801253404,51.5127566458317
"85",5,19 Marshall Street,-0.138314594226917,51.5139285572777
"86",1,15 Dufours Place,-0.137218683298323,51.5135029697741
"87",2,61 Broadwick Street,-0.137360192613021,51.5131143042249
"88",1,1 Marshall Street,-0.137278057875526,51.5126376275546
"89",1,1 Upper James Street,-0.137241802839198,51.5122360012503
"90",3,61 Broadwick Street,-0.137360192613021,51.5131143042249
"91",1,1 Marshall Street,-0.137278057875526,51.5126376275546
"92",1,1 Upper James Street,-0.137241802839198,51.5122360012503
"93",1,21 Poland Street,-0.13718336970352,51.5148552581735
"94",1,9 Dufours Place,-0.137298346448132,51.5134795660477
"95",2,51 Beak Street,-0.1372315327064,51.5125593036321
"96",3,1 Poland Street,-0.137017118009199,51.5144623454465
"97",2,13 Poland Street,-0.137041496363172,51.5146423272619
"98",1,61 Broadwick Street,-0.137360192613021,51.5131143042249
"99",1,53 Beak Street,-0.137007719414718,51.5126444684183
"100",4,47 Broadwick Street,-0.136926526745227,51.5132417827921
"101",2,30 Bridle Lane,-0.136986332389048,51.5125732198604
"102",3,12 Poland Street,-0.136935737319967,51.5144833406606
"103",2,54 Broadwick Street,-0.136902134862788,51.5133113618108
"104",1,67 Beak Street,-0.136885133361741,51.5126862123639
"105",3,53 Poland Street,-0.136850981060856,51.5142190048499
"106",3,52 Broadwick Street,-0.136739958203834,51.5133635783308
"107",18,45 Broadwick Street,-0.136829220096278,51.5132731127338
"108",3,17 Noel Street,-0.136796503492113,51.5149126171773
"109",1,69 Beak Street,-0.136784506174271,51.5127201936
"110",1,9 Poland Street,-0.136729595379691,51.5141826657618
"111",1,55 Poland Street,-0.136688674460084,51.5139863239875
"112",3,43 Broadwick Street,-0.136731914755324,51.5133044426277
"113",1,52 Broadwick Street,-0.136739958203834,51.5133635783308
"114",1,57 Poland Street,-0.136674998194371,51.5139667161601
"115",3,9 Poland Street,-0.136729595379691,51.5141826657618
"116",1,71 Beak Street,-0.136683878895704,51.5127541738492
"117",4,43 Broadwick Street,-0.136731914755324,51.5133044426277
"118",4,50 Broadwick Street,-0.136564001861124,51.5134072282802
"119",2,59 Poland Street,-0.13648991139426,51.5137013547114
"120",1,19 Noel Street,-0.136485080715731,51.5149852481645
"121",1,48 Beak Street,-0.13654123925528,51.5127399682078
"122",1,51 Lexington Street,-0.136506171322518,51.513275889295
"123",1,75 Beak Street,-0.13656473715018,51.5127946803488
"124",1,46 Broadwick Street,-0.136522090218841,51.5134182620822
"125",1,23 Great Pulteney Street,-0.136466840887401,51.5126059956684
"126",1,7 Poland Street,-0.136501645167453,51.5138558646062
"127",1,13 Bridle Lane,-0.136581232955252,51.5121993150224
"128",2,75 Beak Street,-0.13656473715018,51.5127946803488
"129",5,47 Lexington Street,-0.136376144923242,51.5131059551061
"130",2,14 Darblay Street,-0.136456550598113,51.5145195376126
"131",1,48 Berwick Street,-0.136320554399632,51.5153368445673
"132",2,1 Lexington Street,-0.136425429139033,51.5132978117545
"133",1,25 Great Pulteney Street,-0.136374458086194,51.5124922578534
"134",1,77 Beak Street,-0.136327573950274,51.5128845455039
"135",1,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"136",2,1 Lexington Street,-0.136425429139033,51.5132978117545
"137",1,27 Great Pulteney Street,-0.13628207441065,51.5123785181395
"138",1,1 Portland Mews,-0.136194929670552,51.5142421020266
"139",2,43 Lexington Street,-0.136287364868338,51.5129994331866
"140",1,1 Beak Street,-0.136400344290206,51.5127927868904
"141",1,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"142",1,12 Darblay Street,-0.136260435243138,51.5145791334224
"143",1,1 Broadwick Street,-0.136295976748825,51.513424196699
"144",1,27 Great Pulteney Street,-0.13628207441065,51.5123785181395
"145",1,44 Lexington Street,-0.136210842283151,51.5130265924965
"146",2,9 Portland Mews,-0.136160099435212,51.5142924570248
"147",1,25 Darblay Street,-0.136165747983893,51.5145468980206
"148",3,44 Lexington Street,-0.136210842283151,51.5130265924965
"149",2,31 Broadwick Street,-0.136254308728358,51.5134362167295
"150",4,32 Broadwick Street,-0.13618589206892,51.5135079408351
"151",2,10 Livonia Street,-0.136003727916481,51.5139744497743
"152",4,27 Lexington Street,-0.136111647427515,51.5128164218362
"153",1,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"154",1,1 Livonia Street,-0.136043872857733,51.5140232494097
